stop_id	stop_name	stop_lon	stop_lat
8591324	Zürich, Röslistrasse	8.540499003	47.38866225
8591123	Zürich, ETH/Universitätsspital	8.548233498	47.37728808
8591173	Zürich, Haldenbach	8.548377228	47.38029304
8591433	Zürich, Winkelriedstrasse	8.548215531	47.38319444
8591362	Zürich, Seilbahn Rigiblick	8.548368245	47.38591321
8591229	Zürich, Kinkelstrasse	8.546329069	47.38888728
8591255	Zürich, Letzistrasse	8.545493636	47.39068137
8591244	Zürich, Langmauerstrasse	8.544783967	47.39353962
8591406	Zürich, Universität Irchel	8.544828883	47.39616056
8591393	Zürich, Tierspital	8.551799809	47.40190064
8591420	Zürich, Waldgarten	8.557198684	47.40371861
8591343	Zürich, Schörlistrasse	8.563873167	47.40594386
8591349	Zürich, Schwamendingerplatz	8.571895122	47.40459413
8591325	Zürich, Roswiesen	8.576979587	47.40295252
8591159	Zürich, Glattwiesen	8.581758624	47.40160271
8591305	Zürich, Probstei	8.58659156	47.40022246
8591271	Zürich, Mattenhof	8.59092144	47.39864152
